Реєстр вулиць та інших поіменованих елементів міської вулично-дорожньої мережі міста Києва;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;Унікальний цифровий код об'єкта;Повне офіційне найменування об'єкта;Категорія (тип) об'єкта;Адміністративний район;Документ про присвоєння найменування об'єкта;Реквізити документу про найменування обєкту вулично-дорожньої мережі;;;Місце розташування об'єкта на території міста;Колишні найменування об'єкта;;;;;;;;;;;;;;;;;;;
;;;;;;Дата документу про присвоєння найменування об'єкта;Номер документу про присвоєння найменування об'єкта;Заголовок документу про присвоєння найменування об'єкта;;Найменування об'єкта;Категорія (тип) об'єкта;;;;;;;;;;;;;;;;;;
552;10439;Дмитрівська;вулиця;Подільський;-;-;-;-;Відома з 19 ст. Пролягає від Хвойки Вікентія, вул. до Тульчинської вул.;;;;;;;;;;;;;;;;;;;;
553;10441;Дніпрова;вулиця;Дарницький;-;-;-;-;Відома з 1950-х рр. Пролягає від Тальнівської до Зовнішньої вул.;;;;;;;;;;;;;;;;;;;;
554;12083;Дніпровий;провулок;Дарницький;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Тальнівської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
555;10442;Дніпроводська;вулиця;Оболонський;Постанова бюро Київського міського комітету Компартії України та  виконавчого комітету Київської міської ради депутатів трудящих;15.07.1958;1249;Про найменування та перейменування вулиць м. Києва;Пролягає від шосе Київ-Іванків-Овруч (продовження Мінського просп.) до шосе на місто Вишгород та Богатирської вулиці.;;;;;;;;;;;;;;;;;;;;
556;12529;Дніпровська;вулиця;Оболонський;-;-;-;-;Пролягає вздовж берегової лінії Дніпра до кінця забудови.;;;;;;;;;;;;;;;;;;;;
557;10443;Дніпровська ;набережна;Дніпровський, Дарницький;Рішення виконавчого комітету Київської міської ради депутатів трудящих;31.10.1967;1826;Про найменування та перейменування вулиць і площ м. Києва;Пролягає від Патона, мосту до Бажана Миколи, просп. ;;;;;;;;;;;;;;;;;;;;
558;10447;Дніпровське;шосе;Голосіївський;Рішення Київської міської ради;12.10.2017;194/3201;Про перейменування шосе у Голосіївському районі міста Києва;Пролягає від Столичного шосе до межі міськради.;Дніпропетровське;шосе;;;;;;;;;;;;;;;;;;
559;10444;Дніпровський ;узвіз;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;19.03.1940;25/20;Про перейменування вулиць по Кіровському району;Пролягає від Андрія Первозванного, пл. до Набережного шосе.;;;;;;;;;;;;;;;;;;;;
560;10448;Дністровська;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;Про перейменування вулиць м. Києва;Пролягає від Машинобудівної вул. до Тупікова Генерала, вул.;;;;;;;;;;;;;;;;;;;;
561;10449;Добрий Шлях;вулиця;Голосіївський;-;-;-;-;Відома з 2-ї пол. 19 ст. Пролягає від Голосіївської вул. до Блакитного, вул. ;;;;;;;;;;;;;;;;;;;;
562;10450;Добринінська;вулиця;Оболонський;Рішення виконавчого комітету Київської міської ради народних депутатів;07.04.1980;453;Про перейменування та найменування окремих вулиць м. Києва;Пролягає від Автозаводської вул. до Малиновського Маршала, вул., прилучається до Леоніда Телятникова, пл.;;;;;;;;;;;;;;;;;;;;
563;12681;Добробутна;вулиця;Солом'янський;Рішення Київської міської ради ;01.10.2015;81/1984;Про найменування нових вулиць та провулків у мікрорайоні Жуляни Солом'янського району м.Києва;Пролягає від Колоса Сергія, вул. до Грушевої вул.;Нова;вулиця;;;;;;;;;;;;;;;;;;
564;11241;Добровольчих батальйонів;вулиця;Печерський;Рішення Київської міської ради;03.09.2015;934/1798;«Про перейменування вулиці в Печерському районі міста Києва»;Пролягає від Старонаводницької вул. до Лаврської вул.;Панфіловців;вулиця;;;;;;;;;;;;;;;;;;
565;10451;Добролюбова;вулиця;Печерський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Звіринецької вул. до Тимірязєвського пров.;;;;;;;;;;;;;;;;;;;;
566;10452;Добролюбова;провулок;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Вільшанської вул. до Звіринецької вул.;;;;;;;;;;;;;;;;;;;;
567;10453;Добросусідська;вулиця;Солом'янський;Постанова бюро Київського міського комітету Компартії України та  виконавчого комітету Київської міської ради депутатів трудящих;15.07.1958;1249;Про найменування та перейменування вулиць м. Києва;Пролягає від Крутогірної вул. до Пржевальського, вул. ;;;;;;;;;;;;;;;;;;;;
568;10454;Добросусідський;провулок;Солом'янський;Постанова бюро Київського міського комітету Компартії України та  виконавчого комітету Київської міської ради депутатів трудящих;15.07.1958;1249;Про найменування та перейменування вулиць м. Києва;Пролягає від Добросусідської вул. до Червоної вул.;;;;;;;;;;;;;;;;;;;;
569;10455;Доброхотова Академіка;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;14.12.1970;2210;Про найменування нових вулиць на житловому масиві „Оболонь“ і перейменування деяких вулиць і площ м. Києва;Пролягає від Вернадського Академіка, бульв. до Палладіна Академіка, просп. ;;;;;;;;;;;;;;;;;;;;
570;10456;Добрузька;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;20.08.1957;1428;Про найменування та перейменування вулиць м. Києва;Пролягає від Гавела Вацлава, бульв. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
571;10457;Доватора Генерала;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;Про найменування міських вулиць;Пролягає від П'ятигорської вул. до Гвардійської вул. (двічі).;;;;;;;;;;;;;;;;;;;;
572;10458;Доватора Генерала;провулок;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;«Про перейменування вулиць м. Києва»;-;;;;;;;;;;;;;;;;;;;;
573;10459;Довбуша Олекси;вулиця;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;Про найменування міських вулиць;Пролягає від Алматинської вул. до тупика;;;;;;;;;;;;;;;;;;;;
574;10460;Довженка;вулиця;Деснянський;-;-;-;-;Пролягає від Никифора Дровняка, вул. до Митрополита Володимира Сабодана, вул. ;;;;;;;;;;;;;;;;;;;;
575;10461;Довженка Олександра;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;13.10.1959;1710;Про найменування та перейменування вулиць м. Києва;Пролягає від Перемоги, просп. до Дегтярівської вул.;;;;;;;;;;;;;;;;;;;;
576;10463;Докучаєвська;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Привітної і Волгоградської вул. до Протасів Яр, вул.  ;;;;;;;;;;;;;;;;;;;;
577;10465;Докучаєвський;тупик;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;03.01.1952;5;Про зміну найменувань вулиць;Пролягає від Привітної вул. та Волгоградської вул. до тупика. ;;;;;;;;;;;;;;;;;;;;
578;10464;Докучаєвський;провулок;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Докучаєвської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
579;10466;Долинна;вулиця;Солом'янський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Комбайнерів, вул. до Караваєва Професора, вул. ;;;;;;;;;;;;;;;;;;;;
580;10467;Донецька;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;03.01.1952;5;Про зміну найменувань вулиць;Пролягає від Севастопольської пл. до залізниці.;;;;;;;;;;;;;;;;;;;;
581;10468;Донецький;провулок;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;03.01.1952;5;Про зміну найменувань вулиць;Пролягає від Донецької вул. до Сім'ї Ідзиковських, вул.;;;;;;;;;;;;;;;;;;;;
582;10469;Донська;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Лобановського Валерія просп. (двічі, утворюючи хорду).;;;;;;;;;;;;;;;;;;;;
583;10470;Донський;провулок;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;03.01.1952;5;Про зміну найменувань вулиць;Пролягає від Архітекторської вул. до Донської вул.;;;;;;;;;;;;;;;;;;;;
584;10472;Донця Михайла;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради народних депутатів  ;06.12.1991;916;Про найменування і перейменування вулиць м. Києва;Пролягає від Відрадного просп. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
585;10473;Дончука Василя;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;27.12.1971;2061;Про найменування та перейменування вулиць м. Києва;Пролягає від Пимоненка Миколи, вул. до Студентської вул.;;;;;;;;;;;;;;;;;;;;
586;10474;Дорогожицька;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;26.01.1961;146;Про найменування та перейменування вулиць і площ м. Києва;Пролягає від Юрія Іллєнка, вул. до Парково-Сирецької, вул. і Ризької вул.;;;;;;;;;;;;;;;;;;;;
587;10476;Достоєвського;провулок;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;29.12.1953;2610;Про найменування міських вулиць;Пролягає від Рилєєва, пров. до Копилівської вул.;;;;;;;;;;;;;;;;;;;;
588;10475;Достоєвського;вулиця;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;29.12.1953;2610;Про найменування міських вулиць;Пролягає від Шполянської вул. до Захарівської вул.;;;;;;;;;;;;;;;;;;;;
589;10477;Драгоманова;вулиця;Дарницький;Рішення виконавчого комітету Київської міської ради народних депутатів  ;17.05.1989;440;Про найменування нових вулиць м. Києва;Пролягає від Здолбунівської вул. до Григоренка Петра, просп.;;;;;;;;;;;;;;;;;;;;
590;10478;Драгомирова Михайла;вулиця;Печерський;Рішення Київської міської ради ;15.03.2012;204/7541;"Про внесення змін до рішення Київської міської ради від 17.06.1999 № 297/398 Про найменування нової вулиці""";Пролягає від Підвисоцького Професора, вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
591;10479;Драйзера Теодора;вулиця;Деснянський;Рішення виконавчого комітету Київської міської ради народних депутатів;18.04.1983;613;Про впорядкування найменувань та перейменувань вулиць м. Києва;Пролягає від Романа Шухевича, просп. і Братиславської вул. до Радунської вул. і Градинської вул. ;;;;;;;;;;;;;;;;;;;;
592;11726;Драй-Хмари Михайла;вулиця;Святошинський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Мельниченка, вул. до Жмеринської вул. Прилучаються: Петра Дорошенка вул., Біляшівського Академіка, вул.;Маршала Тухачевського;вулиця;;;;;;;;;;;;;;;;;;
593;12569;Друга;вулиця;Оболонський;-;-;-;-;Пролягає від Третьої вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
594;10480;Дружби;вулиця;Дарницький;-;-;-;-;Пролягає від Харченка Євгена, вул. до Заплавної, вул.;;;;;;;;;;;;;;;;;;;;
595;10481;Дружби 1;провулок;Дарницький;-;-;-;-;Пролягає від Дружби, вул. до Бортницької вул.;;;;;;;;;;;;;;;;;;;;
596;10482;Дружби 2;провулок;Дарницький;-;-;-;-;Пролягає від Дружби, вул. до Бортницької вул.;;;;;;;;;;;;;;;;;;;;
597;10483;Дружби 3;провулок;Дарницький;-;-;-;-;Пролягає від Дружби, вул. до Бортницької вул.;;;;;;;;;;;;;;;;;;;;
598;10484;Дружби Народів;бульвар;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;13.10.1959;1710;Про найменування та перейменування вулиць м. Києва;Пролягає від залізничного шляхопроводу до Патона, моста.;;;;;;;;;;;;;;;;;;;;
599;10486;Дружківська;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;20.08.1957;1428;Про найменування та перейменування вулиць м. Києва;Пролягає від Перемоги, просп. до тупика.;;;;;;;;;;;;;;;;;;;;
600;10487;Дружня;вулиця;Солом'янський;Постанова бюро Київського міського комітету Компартії України та виконкому Київської міської ради депутатів трудящих ;15.07.1958;1249;Про найменування та перейменування вулиць міста Києва;Пролягає від Локомотивної вул. до Привітної вул.;;;;;;;;;;;;;;;;;;;;
601;10488;Дубенська;вулиця;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Тимірязєвської вул. до Зверинецької вул.;;;;;;;;;;;;;;;;;;;;
602;12623;Дубичнянська;вулиця;Деснянський;-;-;-;-;Пролягає від Деснянської вул. до Єдності, вул.;;;;;;;;;;;;;;;;;;;;
603;12904;Дубищанська;вулиця;Оболонський;Рішення Київської міської ради;13.11.2014;374/374;Про найменування вулиць в Оболонському районі міста Києва;Пролягає від вулиці Редьчинської до кінця забудови;;;;;;;;;;;;;;;;;;;;
604;12907;Дубищанський;провулок;Оболонський;Рішення Київської міської ради;13.11.2014;374/374;Про найменування вулиць в Оболонському районі міста Києва;Пролягає від вулиці Редьчинської, вулиці Луківської до кінця забудови;;;;;;;;;;;;;;;;;;;;
605;10489;Дубініна Володі;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;05.07.1955;857;Про перейменування вулиць м. Києва;Пролягає від Жуковського Василя, пров. до Васильківської вул. ;;;;;;;;;;;;;;;;;;;;
606;12177;Дубка (Озерна 15);вулиця;Дарницький;Лист;15.01.2014;333/0/02-14;"п. 50 Листа ДП ""Інформаційний центр"" Міністерства юстиції України";Пролягає від Підбірної вул. до Східно-Дальньої вул.;;;;;;;;;;;;;;;;;;;;
607;10491;Дубровицька;вулиця;Оболонський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Вишгородської вул. до Автозаводської вул. ;;;;;;;;;;;;;;;;;;;;
608;10492;Дубровицький;провулок;Оболонський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;29.12.1953;2610;Про найменування міських вулиць;Пролягає від Дубровицької вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
609;10126;Дубровського Віктора;провулок;Святошинський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Дурдуківського Володимира, вул. до Булаховського Академіка, вул.;Бонч-Бруєвича;провулок;;;;;;;;;;;;;;;;;;
610;11825;Дудника Георгія;вулиця;Шевченківський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Безручка Марка, вул. до Уссурійської вул.;Цюрупинська;вулиця;;;;;;;;;;;;;;;;;;
611;10493;Дуки Степана;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;21.11.1961;2259;Про найменування та перейменування вулиць, площ та парків міста;Пролягає від Китаєвської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
612;10494;Дунаєвського;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;07.07.1966;980;Про перейменування вулиць у селищі Біличі Жовтневого району і найменування нових вулиць, що виникли на житлових масивах;Пролягає від Дунаєвського, вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
613;11992;Дунаєвського;провулок;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;07.07.1966;980;«Про перейменування вулиць у селищі Біличі Жовтневого району і найменування нових вулиць, що виникли на житлових масивах»;Пролягає від Букіної Раїси, вул. до Дунаєвського, вул.;;;;;;;;;;;;;;;;;;;;
614;10125;Дурдуківського Володимира;вулиця;Святошинський;Розпорядження Київського міського голови;19.02.2016;125/1;Про перейменування бульвару, вулиць, площі та провулків у місті Києві;Пролягає від Осіннього, пров. до Булаховського Академіка, вул.;Бонч-Бруєвича;вулиця;;;;;;;;;;;;;;;;;;
615;10496;Дяченка Івана;вулиця;Дарницький;-;-;-;-;Пролягає від Харченка Євгена, вул. до Борової вул.;;;;;;;;;;;;;;;;;;;;
616;10497;Екскаваторна;вулиця;Святошинський;-;-;-;-;Виникла у 50-ті рр. 20 ст. Пролягає від Перемоги, просп. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
617;10498;Електриків;вулиця;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;Про перейменування вулиць м. Києва;Пролягає від Рибальського мосту до кінця забудови. ;;;;;;;;;;;;;;;;;;;;
618;10499;Електриків;провулок;Подільський;-;-;-;-;Виник у 50-ті рр. 20 ст. Пролягає від Електриків, вул. до кінця забудови (2 рази).;;;;;;;;;;;;;;;;;;;;
619;10501;Електротехнічна;вулиця;Деснянський;Рішення виконавчого комітету Київської міської ради народних депутатів;18.04.1983;613;Про впорядкування найменувань та перейменувань вулиць м. Києва;Пролягає від перехрестя Романа Шухевича, просп., Братиславської вул., Драйзера Теодора, вул. до Сержа Лифаря, вул.  ;;;;;;;;;;;;;;;;;;;;
620;10503;Енгельса;провулок;Дарницький;-;-;-;-;Пролягає від Вуликової, вул. до Енгельса, вул.;;;;;;;;;;;;;;;;;;;;
621;10502;Енгельса;вулиця;Дарницький;-;-;-;-;Пролягає від Коцюбинського, вул. до Заплавної вул.;;;;;;;;;;;;;;;;;;;;
622;10504;Енергетиків;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;29.12.1953;2610;Про найменування міських вулиць;Пролягає від Роздільної вул. до кінця забудови. ;;;;;;;;;;;;;;;;;;;;
623;12455;Енергетиків;вулиця;Дніпровський;-;-;-;-;Пролягає від Марка Черемшини, вул. до Залізничної вул. ;;;;;;;;;;;;;;;;;;;;
624;10505;Енергетиків;провулок;Солом'янський;-;-;-;-;Виник у 50-ті рр. 20 ст. Пролягає від Роздільної вул. до Кудряшова, вул. ;;;;;;;;;;;;;;;;;;;;
625;10506;Ентузіастів;вулиця;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;24.03.1964;379;«Про найменування та перейменування вулиць і площ м. Києва»;Пролягає від Русанівської наб. (двічі, утворюючи напівкільце). ;;;;;;;;;;;;;;;;;;;;
626;12201;Ентузіастів 1;вулиця;Дарницький;-;-;-;-;Пролягає від Центральної вул. до безіменного проїзду, до оз. Підбірна.;;;;;;;;;;;;;;;;;;;;
627;12210;Ентузіастів 10;вулиця;Дарницький;;-;-;-;Пролягає від Підбірна вул. до безіменного проїзду, до оз. Підбірна.;;;;;;;;;;;;;;;;;;;;
628;12202;Ентузіастів 2;вулиця;Дарницький;-;-;-;-;Пролягає від Центральної вул. до безіменного проїзду, до оз. Підбірна.;;;;;;;;;;;;;;;;;;;;
629;12203;Ентузіастів 3;вулиця;Дарницький;-;-;-;-;Пролягає від Центральної вул. до безіменного проїзду, до оз. Підбірна.;;;;;;;;;;;;;;;;;;;;
630;12204;Ентузіастів 4;вулиця;Дарницький;-;-;-;-;Пролягає від Центральної вул. до безіменного проїзду, до оз. Підбірна.;;;;;;;;;;;;;;;;;;;;
631;12205;Ентузіастів 5;вулиця;Дарницький;-;-;-;-;Пролягає від Центральної вул. до безіменного проїзду, до оз. Підбірна.;;;;;;;;;;;;;;;;;;;;
632;12206;Ентузіастів 6;вулиця;Дарницький;-;-;-;-;Пролягає від Центральної вул. до безіменного проїзду, до оз. Підбірна.;;;;;;;;;;;;;;;;;;;;
633;12207;Ентузіастів 7;вулиця;Дарницький;-;-;-;-;Пролягає від Центральної вул. до безіменного проїзду, до оз. Підбірна.;;;;;;;;;;;;;;;;;;;;
634;12208;Ентузіастів 8;вулиця;Дарницький;-;-;-;-;Пролягає від Центральної вул. до безіменного проїзду, до оз. Підбірна.;;;;;;;;;;;;;;;;;;;;
635;12209;Ентузіастів 9;вулиця;Дарницький;-;-;-;-;Пролягає від Центральної вул. до безіменного проїзду, до оз. Підбірна.;;;;;;;;;;;;;;;;;;;;
636;10507;Еренбурга Іллі;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;31.03.1976;296;«Про впорядкування найменувань та перейменування вулиць м. Києва»;Пролягає від Набережно-Жилянської  вул. до Жилянської вул. ;;;;;;;;;;;;;;;;;;;;
637;10508;Ернста Федора;вулиця;Солом'янський;Розпорядження Представника Президента України у місті Києві ;06.07.1994;604;«Про перейменування нових вулиць у Залізничному районі м. Києва»;Пролягає від Повітрофлотського просп. до Пулюя Івана, вул.  ;;;;;;;;;;;;;;;;;;;;
638;10509;Еспланадна;вулиця;Печерський;;-;;;Пролягає від Басейної вул. до Саксаганського, вул. ;;;;;;;;;;;;;;;;;;;;
639;10510;Естонська;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;27.12.1971;2061;«Про найменування та перейменування вулиць м. Києва»;Пролягає від Януша Корчака вул. до Туполєва Академіка, вул.;;;;;;;;;;;;;;;;;;;;
640;10511;Естонський;провулок;Шевченківський;-;-;-;-;Сучасна назва з 1971. Пролягає від Естонської вул. до тупика.;;;;;;;;;;;;;;;;;;;;
641;10857;Євгена Гуцала;провулок;Печерський;Рішення Київської міської ради;07.07.2016;559/559;Про перейменування вулиць, проспекту та провулку у місті Києві;Пролягає від Генерала Алмазова, вул. до Печерської пл. та Немировича-Данченка, вул.;Кутузова;провулок;;;;;;;;;;;;;;;;;;
642;11924;Євгена Коновальця;вулиця;Печерський;Рішення Київської міської ради;03.09.2015;944/1808;Про перейменування вулиць, площ, провулків та проспектів у місті Києві ;Пролягає від Великої Васильківської вул. до Задніпровського Михайла, вул. і Новогоспітального, пров.;Щорса;вулиця;;;;;;;;;;;;;;;;;;
643;13075;Євгена Плужника;вулиця;Деснянський;Рішення Київської міської ради;12.10.2017;180/3187;«Про найменування нових вулиць у Деснянському районі міста Києва»;Пролягає від Радистів, вул. до Дмитра Загула, вул.;Проектна-13075;вулиця;;;;;;;;;;;;;;;;;;
644;11419;Євгена Сверстюка;вулиця;Дніпровський;Рішення Київської міської ради;08.10.2015;129/2032;Про повернення історичних назв, перейменування та найменування вулиць, провулку у місті Києві;Пролягає від Броварського просп. до Верховної Ради, бульв.;Марини Раскової;вулиця;;;;;;;;;;;;;;;;;;
645;10512;Європейська;площа;Печерський;Розпорядження Київської міської державної адміністрації ;12.03.1996;336;«Про перейменування вулиці Карла Маркса та площі Ленінського комсомолу у м. Києві»;Розташована між Хрещатик, вул., Трьохсвятительською вул., Володимирським узвозом, Грушевського Михайла, вул.;;;;;;;;;;;;;;;;;;;;
646;12620;Єдності;вулиця;Деснянський;-;-;-;-;Пролягає від безіменного проїзду до Деснянської вул. до Свято-Георгіївської вул.;;;;;;;;;;;;;;;;;;;;
647;11658;Єжи Ґедройця;вулиця;Голосіївський, Печерський;Рішення Київської міської ради;29.11.2018;211/6262;Про перейменування вулиці у Голосіївському та Печерському районах міста Києва;Пролягає від Василя Тютюнника, вул. до Малевича Казимира, вул.;Тверська;вулиця;;;;;;;;;;;;;;;;;;
648;10513;Єнісейська;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;29.12.1953;2610;«Про найменування міських вулиць»;Пролягає від Байкальської вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
649;10514;Єреванська;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;13.10.1959;1710;«Про найменування та перейменування вулиць м. Києва»;Пролягає від Космонавтів, пл. до Генерала Генадія Воробйова вул. ;;;;;;;;;;;;;;;;;;;;
650;10515;Єрмака;вулиця;Оболонський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;21.03.1977;410;«Про впорядкування найменувань та перейменувань вулиць і площ м. Києва»;Пролягає від Степана Бандери просп. до Куренівської вул.;;;;;;;;;;;;;;;;;;;;
651;10516;Єсеніна Сергія;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;02.11.1965;1898;«Про перейменування вулиць в селищі Жовтневому Жовтневого району»;Пролягає від Мельниченка, вул. до Жмеринської вул. ;;;;;;;;;;;;;;;;;;;;
652;10517;Жабаєва Жамбила;вулиця;Шевченківський;Рішення Київської міської ради ;18.12.2008;847/847;«Про перейменування вулиці у Шевченківському районі міста Києва»;Пролягає від Парково-Сирецької, вул. і Табірної вул. до Магістральної вул.;;;;;;;;;;;;;;;;;;;;
653;10518;Жашківська;вулиця;Подільський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;05.07.1955;857;«Про перейменування вулиць м. Києва»;Пролягає від Замковецької вул. (двічі, утворюючи кільце).;;;;;;;;;;;;;;;;;;;;
654;10522;Живописна;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;20.07.1965;1270;«Про найменування та перейменування вулиць і площ м. Києва»;Пролягає від Перемоги, просп. до Котельникова Михайла, вул. ;;;;;;;;;;;;;;;;;;;;
655;10523;Жигулівська;вулиця;Голосіївський;Постанова бюро Київського міського комітету Компартії України та виконкому Київської міської ради депутатів трудящих  ;15.07.1958;1249;«Про найменування та перейменування вулиць міста Києва»;Пролягає від Панорамної вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
656;10524;Жилянська;вулиця;Печерський, Голосіївський, Шевченківський;Розпорядження Київської міської ради народних депутатів та Київської міської державної адміністрації ;02.02.1993;16/116;Про повернення вулицям історичних назв, перейменування парків культури та відпочинку, станцій метро;Пролягає від Руставелі Шота, вул. до Повітрофлотського просп. (шляхопровід). ;;;;;;;;;;;;;;;;;;;;
657;10525;Житкова Бориса;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;20.08.1957;1428;«Про найменування та перейменування вулиць м. Києва»;Пролягає від Щусєва, вул. до Сальського Володимира, вул.;;;;;;;;;;;;;;;;;;;;
658;12709;Житньоторзька;вулиця;Подільський;-;-;-;-;Пролягає від Хорива, вул. до Житньоторзької пл. та Верхній Вал, вул.;;;;;;;;;;;;;;;;;;;;
659;10527;Житньоторзька;площа;Подільський;Газета «Кіевлянинъ» ;14.08.1869;95;О наименовании некоторых улиц и площадей в Киеве;Розташована між Нижній Вал, вул., Верхній Вал, вул., Житньоторзькою вул., Ярославським пров.;;;;;;;;;;;;;;;;;;;;
660;10528;Жмаченка Генерала;вулиця;Дніпровський;Рішення виконавчого комітету Київської міської ради депутатів трудящих ;10.09.1968;1494;Про найменування та перейменування вулиць м. Києва;Пролягає від Визволителів, просп. до Курнатовського, вул. і Миропільської, вул. ;;;;;;;;;;;;;;;;;;;;
661;10529;Жмеринська;вулиця;Святошинський;Постанова бюро Київського міського комітету Компартії України та виконкому Київської міської ради депутатів трудящих ;15.07.1958;1249;«Про найменування та перейменування вулиць міста Києва»;Пролягає від Кільцевої дороги до Святошинської вул. ;;;;;;;;;;;;;;;;;;;;
662;10530;Жмеринський;провулок;Святошинський;Рішення виконавчого комітету Київської міської ради депутатів трудящих  ;13.10.1959;1710;Про найменування та перейменування вулиць м. Києва;Пролягає вздовж залізниці. Сполучається проїздом з Авторемонтною вул. ;;;;;;;;;;;;;;;;;;;;
663;10531;Жовтнева;вулиця;Святошинський;-;-;-;-;Пролягає від Чалого Михайла, вул. до Брест-Литовського шосе. ;;;;;;;;;;;;;;;;;;;;
664;10533;Жовтневий;провулок;Святошинський;-;-;-;-;Виник у 1-й пол. 20 ст. Пролягає від Патріарха Володимира Романюка вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
