Реєстр вулиць та інших поіменованих елементів міської вулично-дорожньої мережі міста Києва;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;Унікальний цифровий код об'єкта;Повне офіційне найменування об'єкта;Категорія (тип) об'єкта;Адміністративний район;Документ про присвоєння найменування об'єкта;Реквізити документу про найменування обєкту вулично-дорожньої мережі;;;Місце розташування об'єкта на території міста;Колишні найменування об'єкта;;;;;;;;;;;;;;;;;;;
;;;;;;Дата документу про присвоєння найменування об'єкта;Номер документу про присвоєння найменування об'єкта;Заголовок документу про присвоєння найменування об'єкта;;Найменування об'єкта;Категорія (тип) об'єкта;;;;;;;;;;;;;;;;;;
23;10014;Алексухіна Василя;вулиця;Святошинський;Рішення виконавчого комітету Київської міської ради народних депутатів;07.04.1980;453;Про перейменування та найменування окремих вулиць м. Києва;Пролягає від Вернадського Академіка, бульв. до Степанченка Василя, вул. ;;;;;;;;;;;;;;;;;;;;
24;10090;Алли Горської;провулок;Шевченківський;Рішення Київської міської ради;03.09.2015;944/1808;Про перейменування вулиць, площ, провулків та проспектів у місті Києві ;Пролягає від Шевченка Тараса, бульв. до кінця забудови ;Чеслава Бєлінського;провулок;;;;;;;;;;;;;;;;;;
25;10015;Алматинська;вулиця;Дніпровський;Рішення Київської міської ради;22.03.2018;366/4430;Про уточнення назв вулиць та провулку у місті Києві;Пролягає від Празької вул. до Літинської вул. ;Алма-Атинська;вулиця;;;;;;;;;;;;;;;;;;
26;10016;Аляб'єва;вулиця;Оболонський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;20.08.1957;1428;Про найменування та перейменування вулиць м. Києва;Пролягає від Новокостянтинівської вул. до Тульчинської вул. ;;;;;;;;;;;;;;;;;;;;
27;13092;Аманда Струве;вулиця;Оболонський;Рішення Київської міської ради;19.04.2018;489/4553;Про найменування нових вулиць в Оболонському районі міста Києва;Пролягає від Семена Скляренка вул. до Степана Бандери просп.;Проектна - 13092;вулиця;;;;;;;;;;;;;;;;;;
28;13119;Аміни Окуєвої ;вулиця;Шевченківський;Рішення Київської міської ради;12.11.2019;35/7608;Про найменування нової вулиці у Шевченківському районі міста Києва;Пролягає від вул. Сім'ї Хохлових до вул. Білоруської;Проектна - 13119;вулиця;;;;;;;;;;;;;;;;;;
29;10017;Амосова Миколи;вулиця;Солом'янський;Рішення Київської міської ради;24.04.2003;439/589;Про присвоєння найменування вул. Павла Скоропадського та перейменування узвозу Протасів Яр на вул. Миколи Амосова;Пролягає від Клінічної вул. до Протасів Яр, вул. ;;;;;;;;;;;;;;;;;;;;
30;10018;Амурська;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;Про найменування міських вулиць;Пролягає від Сумської вул. до Амурської пл. ;;;;;;;;;;;;;;;;;;;;
31;10019;Амурська;площа;Голосіївський;-;-;-;-;Сучасна назва вживається з 1970. Розташована між Амурською вул., Васильківською вул., Максимовича Михайла, вул., Теслярською вул.;;;;;;;;;;;;;;;;;;;;
32;11971;Ананасна;вулиця;Подільський;-;-;-;-;Пролягає від  Малинової вул. до Івана Виговського, вул. ;;;;;;;;;;;;;;;;;;;;
33;12624;Анатоліївська;вулиця;Деснянський;-;-;-;-;Пролягає від Радосинської, вул. до Єдності, вул.;;;;;;;;;;;;;;;;;;;;
34;12993;Анатолія Кентія;вулиця;Голосіївський;Рішення Київської міської ради;12.10.2017;181/3188;«Про найменування нових вулиць у Голосіївському районі міста Києва»;Пролягає від Михайла Петренка, вул. до Ігоря Диченка, вул.;Проектна-12993;вулиця;;;;;;;;;;;;;;;;;;
35;10368;Анатолія Лупиноса;вулиця;Солом’янський;Рішення Київської міської ради;03.09.2015;944/1808;Про перейменування вулиць, площ, провулків та проспектів у місті Києві ;Пролягає від Котляревського, вул. до Отця Анатолія Жураковського вул.;Горького;вулиця;;;;;;;;;;;;;;;;;;
36;10122;Анатолія Солов'яненка;вулиця;Дніпровський;Рішення Київської міської ради;27.02.2020;142/8312;Про перейменування вулиці у Дніпровському районі міста Києва;Пролягає від Дарницького бульв. до Миропільської вул. ;Бойченка Олександра;вулиця;;;;;;;;;;;;;;;;;;
37;10020;Андріївська;вулиця;Подільський;-;-;-;-;Одна з найдавніших вулиць Києва. Пролягає від Боричів Тік, вул. до Набережно-Хрещатицької вул.;;;;;;;;;;;;;;;;;;;;
38;10021;Андріївський ;узвіз;Подільський;Постанова виконавчого комітету Київської міської ради депутатів трудящих;06.12.1944;286/2;Про впорядкування найменувань площ, вулиць та провулків м. Києва;Пролягає від Контрактової пл. до Володимирської вул. та Десятинної вул.  ;;;;;;;;;;;;;;;;;;;;
39;11238;Андрія Аболмасова ;вулиця;Дніпровський;Рішення Київської міської ради;12.11.2019;37/7610;"""Про перейменування вулиці у Дніпровському районі міста Києва""";Пролягає від Куліша Пантелеймона, пл. до кінця забудови.;Панельна;вулиця;;;;;;;;;;;;;;;;;;
40;13112;Андрія Кизила;вулиця;Дарницький;Рішення Київської міської ради;12.11.2019;34/7607;Про найменування вулиць у Дарницькому районі міста Києва;Пролягає від Дніпровської набережної до вул. Прип'ятської, вул. Урлівської;Проектна - 13112;вулиця;;;;;;;;;;;;;;;;;;
41;12999;Андрія Меленського;вулиця;Голосіївський;Рішення Київської міської ради;12.10.2017;181/3188;«Про найменування нових вулиць у Голосіївському районі міста Києва»;Пролягає від Бродівської, вул. до Проектної-12998, вул;Проектна-12999 (включає провулок Лазурний);вулиця;;;;;;;;;;;;;;;;;;
42;12983;Андрія Ніковського;вулиця;Голосіївський;Рішення Київської міської ради;12.10.2017;181/3188;«Про найменування нових вулиць у Голосіївському районі міста Києва»;Пролягає від Любомирської, вул. до Столичного шосе;Проектна-12983;вулиця;;;;;;;;;;;;;;;;;;
